topic,count,mean,std
77,11,8.091,0.701
63,15,7.600,2.261
6,111,7.405,2.443
15,39,7.000,1.835
7,103,6.864,3.172
18,36,6.750,2.419
8,75,6.667,3.019
94,8,6.625,1.408
40,21,6.571,2.993
26,30,6.467,2.921
69,13,6.231,3.539
99,8,6.125,2.800
46,19,5.842,3.060
16,37,5.784,3.038
9,65,5.769,3.111
52,17,5.765,3.133
86,10,5.500,2.593
104,7,5.429,3.994
79,10,5.400,2.366
12,56,5.071,3.647
111,6,5.000,0.000
100,8,4.750,3.196
75,11,4.727,3.319
28,28,4.536,3.605
67,14,4.500,3.057
55,16,4.438,3.098
19,35,4.257,3.320
98,8,4.125,2.748
37,23,4.043,3.509
114,5,4.000,2.236
45,19,3.947,3.908
70,12,3.917,3.872
72,12,3.917,3.315
10,62,3.774,3.637
25,30,3.767,3.866
97,8,3.750,4.027
83,10,3.700,2.584
13,53,3.679,3.906
0,1327,3.516,3.711
41,21,3.429,2.976
103,7,3.286,3.251
54,17,3.059,4.069
5,142,3.014,3.408
91,9,3.000,3.640
32,27,2.963,3.514
60,16,2.812,3.016
89,9,2.778,4.236
24,31,2.774,4.240
61,15,2.667,3.599
47,18,2.611,3.550
71,12,2.500,3.205
87,9,2.222,4.658
35,23,2.130,3.584
43,20,1.950,2.373
21,32,1.906,3.156
30,27,1.852,2.865
48,18,1.833,2.749
-1,1360,1.789,3.050
102,7,1.714,2.360
74,12,1.667,2.462
4,222,1.604,2.747
33,25,1.520,2.694
82,10,1.500,2.799
53,17,1.412,2.647
58,16,1.312,2.301
31,27,1.296,2.628
56,16,1.250,2.236
27,29,1.207,2.821
81,10,1.200,2.573
23,31,1.194,2.257
34,24,1.042,2.074
1,400,1.032,2.323
76,11,1.000,2.757
113,5,1.000,2.236
62,15,1.000,3.381
11,57,0.947,2.013
68,13,0.923,1.891
36,23,0.870,1.938
112,5,0.800,1.095
93,9,0.778,1.716
108,7,0.714,1.890
107,7,0.714,1.890
50,17,0.706,1.687
3,267,0.674,1.999
90,9,0.556,1.667
38,23,0.435,1.441
57,16,0.312,1.250
65,15,0.267,0.704
49,17,0.235,0.664
2,373,0.005,0.104
39,22,0.000,0.000
29,27,0.000,0.000
80,10,0.000,0.000
78,11,0.000,0.000
44,20,0.000,0.000
42,20,0.000,0.000
20,33,0.000,0.000
22,32,0.000,0.000
64,15,0.000,0.000
59,16,0.000,0.000
95,8,0.000,0.000
96,8,0.000,0.000
73,12,0.000,0.000
66,14,0.000,0.000
51,17,0.000,0.000
84,10,0.000,0.000
85,10,0.000,0.000
88,9,0.000,0.000
106,7,0.000,0.000
105,7,0.000,0.000
92,9,0.000,0.000
101,7,0.000,0.000
110,6,0.000,0.000
109,7,0.000,0.000
14,42,-0.119,0.772
17,36,-0.139,0.833
